id,"name","hiragana",recipes_count
1,"木綿豆腐","もめんどうふ",0
2,"きんぴらごぼう","きんぴらごぼう",1
3,"山芋","やまいも",1
4,"片栗粉","かたくりこ",28
5,"揚げ油","あげあぶら",22
6,"大葉","おおば",9
7,"生姜","しょうが",52
8,"茗荷","みょうが",5
9,"出し汁","だしじる",9
10,"みりん","みりん",68
11,"醤油","しょうゆ",78
12,"水溶き片栗粉","みずときかたくりこ",0
13,"魚の切り身","さかなのきりみ",0
14,"玉ねぎ","たまねぎ",126
15,"ニンニク","にんにく",118
16,"しょうが","しょうが",52
17,"青唐辛子","あおとおがらし",0
18,"トマト","とまと",41
19,"タマリンド","たまりんど",3
20,"ぬるま湯","ぬるまゆ",6
21,"ココナッツミルク","ここなっつみるく",5
22,"塩","しお",287
23,"サラダ油","さらだあぶら",0
24,"カイエンペッパー","かいえんぺっぱー",12
25,"コリアンダー","こりあんだー",9
26,"パプリカ","ぱぷりか",17
27,"ターメリック","たーめりっく",14
28,"フェヌグリーク","ふぇぬぐりーく",1
29,"マスタードシード","ますたーどしーど",4
30,"赤唐辛子","あかとおがらし",0
31,"カレーリーフ","かれーりーふ",2
32,"香菜","かな",6
33,"鶏もも肉","とりももにく",0
34,"冬瓜","とうがん",2
35,"素麺","そうめん",1
36,"長ねぎ","ながねぎ",0
37,"一番出汁","いちばんでじる",0
38,"薄口醤油","うすくちしょうゆ",24
39,"濃口醤油","こいくちしょうゆ",0
40,"七味唐辛子","しちみとうがらし",0
41,"合びき肉","あいびきにく",0
42,"パン粉","ぱんこ",0
43,"ケチャップ","けちゃっぷ",10
44,"ガーリックパウダー","がーりっくぱうだー",2
45,"ナツメグ","なつめぐ",11
46,"ブラックペッパー","ぶらっくぺっぱー",6
47,"赤ワイン","あかわいん",0
48,"卵","たまご",74
49,"小麦粉","こむぎこ",32
50,"キャベツ","きゃべつ",11
51,"きゅうり","きゅうり",18
52,"プチトマト","ぷちとまと",4
53,"ジャガイモ","じゃがいも",32
54,"たまねぎ","たまねぎ",126
55,"オリーブオイル","おりーぶおいる",92
56,"強力粉","きょうりきこ",18
57,"薄力粉","はくりきこ",47
58,"ベーキングパウダー","べーきんぐぱうだー",12
59,"粉チーズ","こなちーず",0
60,"桜エビ","さくらえび",3
61,"ビール","びーる",2
62,"にんにく","にんにく",118
63,"赤とうがらし","あかとおがらし",0
64,"イタリアンパセリ","いたりあんぱせり",13
65,"Vオリーブオイル","おりーぶおいる",92
66,"お湯","おゆ",12
67,"粗塩","あらしお",7
68,"魚","さかな",1
69,"あさり","あさり",10
70,"じゃがいも","じゃがいも",32
71,"人参","にんじん",60
72,"フュメドポワソン","ふゅめどぽわそん",1
73,"チキンコンソメ","ちきんこんそめ",3
74,"生クリーム","なまくりーむ",0
75,"バター","ばたー",68
76,"コショウ","こしょう",111
77,"パセリ","ぱせり",38
78,"白身魚","しろみざかな",5
79,"青魚","あおざかな",1
80,"玉葱","たまねぎ",126
81,"フヌイユ","ふぬいゆ",1
82,"ポワロー","ぽわろー",2
83,"セロリ","せろり",18
84,"トマトコンサントレ","とまとこんさんとれ",1
85,"白ワイン","しろわいん",0
86,"水","みず",133
87,"ハーブ","はーぶ",2
88,"サフラン","さふらん",3
89,"グリュイエールチーズ","ぐりゅいえーるちーず",5
90,"バケット","ばけっと",3
91,"卵黄","らんおう",36
92,"スープ・ド・ポワソン","すーぷ・ど・ぽわそん",1
93,"たかのつめ","たかのつめ",7
94,"サーモン","さーもん",1
95,"ブロッコリー","ぶろっこりー",6
96,"ピクルス","ぴくるす",4
97,"パン","ぱん",1
98,"レモン","れもん",24
99,"胡椒","こしょう",111
100,"レモン汁","れもんじる",0
101,"牛乳","ぎゅうにゅう",54
102,"グラニュー糖","ぐらにゅーとう",0
103,"全卵","ぜんらん",12
104,"アーモンドプードル","あーもんどぷーどる",2
105,"アーモンド","あーもんど",3
106,"バニラビーンズ","ばにらびーんず",5
107,"コーンスターチ","こーんすたーち",6
108,"塩鮭","しおざけ",2
109,"冷めたごはん","さめたごはん",0
110,"新生姜","しんしょうが",1
111,"みょうが","みょうが",5
112,"あさつき","あさつき",3
113,"ごま","ごま",7
114,"海苔","のり",4
115,"わさび","わさび",8
116,"醬油","しょうゆ",78
117,"玄米茶","げんまいちゃ",1
118,"めんつゆ","めんつゆ",1
119,"豚バラ肉","にくばらにく",0
120,"白インゲン豆","しろいんげんまめ",0
121,"トマトダイス缶","とまとだいすかん",0
122,"ソーセージ","そーせーじ",1
123,"固形ブイヨン","こけいぶいよん",0
124,"ラード","らーど",8
125,"白胡椒","しろこしょう",5
126,"白ワインビネガー","しろわいんびねがー",0
127,"ローズマリー","ろーずまりー",6
128,"ブイヨン","ぶいよん",8
129,"白いんげん豆","しろいんげんまめ",0
130,"黒オリーブ","くろおりーぶ",0
131,"フォンドヴォー","ふぉんどゔぉー",1
132,"いんげん","いんげん",7
133,"真いわし","まいわし",1
134,"アンチョビフィレ","あんちょびふぃれ",4
135,"タイム","たいむ",12
136,"松の実","まつのみ",5
137,"レーズン","れーずん",6
138,"香草パン粉","かおりぐさぱんこ",0
139,"エクストラバージンオイル","えくすとらばーじんおいる",3
140,"ローリエ","ろーりえ",21
141,"オレンジ","おれんじ",1
142,"こしょう","こしょう",111
143,"イチジク","いちじく",1
144,"ししとう","ししとう",3
145,"大根","だいこん",16
146,"出汁","だし",31
147,"味醂","みりん",68
148,"天ぷら粉","てんぷらこ",3
149,"ピーマン","ぴーまん",14
150,"ダイストマト缶","だいすとまとかん",0
151,"パプリカパウダー","ぱぷりかぱうだー",11
152,"生ハム","なまはむ",0
153,"グリーンオリーブ","ぐりーんおりーぶ",2
154,"ブラックオリーブ","ぶらっくおりーぶ",4
155,"チキンブイヨン","ちきんぶいよん",7
156,"サラダオイル","さらだおいる",2
157,"コンソメスープ","こんそめすーぷ",1
158,"パン・ド・カンパーニュ","ぱん・ど・かんぱーにゅ",1
159,"グリュエールチーズ","ぐりゅえーるちーず",1
160,"ホタテ","ほたて",2
161,"春キャベツ","はるきゃべつ",0
162,"茹でたけのこ","ゆでたけのこ",0
163,"長葱","ながねぎ",11
164,"XVオリーブオイル","おりーぶおいる",92
165,"白こしょう","しろこしょう",0
166,"バジル","ばじる",10
167,"ホールトマト","ほーるとまと",5
168,"ソーフリット","そーふりっと",1
169,"にんじん","にんじん",60
170,"無塩バター","むえんばたー",0
171,"動物性生クリーム","どうぶつせいなまくりーむ",0
172,"マッシュルーム","まっしゅるーむ",14
173,"米","べい",11
174,"板ゼラチン","いたぜらちん",0
175,"トマトペースト","とまとぺーすと",9
176,"レモン果汁","れもんかじゅう",0
177,"赤パプリカ","あかぱぷりか",0
178,"黄パプリカ","きぱぷりか",0
179,"緑ズッキーニ","みどりずっきーに",0
180,"黄ズッキーニ","きずっきーに",0
181,"なす","なす",8
182,"赤ミニトマト","あかみにとまと",0
183,"黄ミニトマト","きみにとまと",0
184,"バジルの葉","ばじるのは",0
185,"種無し黒オリーブ","たねなしくろおりーぶ",0
186,"パルメザンチーズ","ぱるめざんちーず",16
187,"卵白","らんぱく",14
188,"砂糖","さとう",107
189,"貝割れ","かいわれ",4
190,"本節","ほんせつ",1
191,"昆布パウダー","こんぶぱうだー",0
192,"白出汁","しろでじる",0
193,"上白糖","じょうはくとう",1
194,"ポン酢","ぽんず",2
195,"銀ダラ","ぎんだら",0
196,"酒粕","さけかす",1
197,"西京粒味噌","さいきょうつぶみそ",0
198,"田舎味噌","いなかみそ",1
199,"酒","ざけ",61
200,"青菜やたけのこなど","あおやさいやたけのこなど",0
201,"アスパラガス","あすぱらがす",2
202,"かぼちゃ","かぼちゃ",2
203,"きび砂糖","きびざとう",0
204,"濃口しょうゆ","こいくちしょうゆ",0
205,"だし","だし",31
206,"豚ロース肉","ぶたろーすにく",0
207,"厚揚げ","あつあげ",2
208,"おろしニンニク","おろしにんにく",7
209,"豆板醤","とうばんじゃん",7
210,"甜麺醤","てんめんじゃん",6
211,"トウチ","とうち",1
212,"ラー油","らーゆ",0
213,"油","あぶら",7
214,"ムール貝","むーるがい",0
215,"玉ネギ","たまねぎ",126
216,"白コショウ","しろこしょう",0
217,"むきエビ","むきえび",6
218,"イカ","いか",7
219,"鶏むね肉","とりむねにく",0
220,"チャーシュー","ちゃーしゅー",2
221,"ヤングコーン","やんぐこーん",1
222,"生きくらげ","いきくらげ",0
223,"椎茸","しいたけ",9
224,"中華スープ","ちゅうかすーぷ",0
225,"オイスターソース","おいすたーそーす",10
226,"ごま油","ごまあぶら",42
227,"老酒","らおちゅう",2
228,"栗含ませ","くりふくませ",0
229,"さつまいもペースト","さつまいもぺーすと",1
230,"栗含ませの汁","くりふくませしる",0
231,"酢","す",24
232,"金天",NULL,0
233,"銀箔","ぎんぱく",1
234,"骨付き鶏もも肉",NULL,0
235,"粒黒コショウ",NULL,0
236,"トマトジュース","とまとじゅーす",1
237,"赤ワインビネガー",NULL,0
238,"シブレット","しぶれっと",1
239,"ワンタンの皮",NULL,0
