"id","name","hiragana","recipes_count"
2,"鶏モモ肉","とりももにく",25
12,"卵","たまご",65
22,"ご飯","ごはん",13
32,"出汁","だし",26
42,"みりん","みりん",61
52,"醤油","しょうゆ",69
62,"三つ葉","みつば",7
72,"粉山椒","こなざんしょう",2
82,"砂糖","さとう",95
92,"片栗粉又は葛粉","かたくりこまたはくずこ",1
102,"油","あぶら",7
112,"大根おろし","だいこんおろし",2
122,"おろしニンニク","おろしにんにく",7
132,"おろし生姜","おろししょうが",5
142,"塩","しお",255
152,"レモン汁","れもんじる",20
162,"片栗粉","かたくりこ",24
172,"揚げ油","あげあぶら",16
182,"レモン","れもん",19
192,"豚バラスライス","ぶたばららいす",2
202,"ジャガイモ大","じゃがいもだい",1
212,"人参","にんじん",50
222,"玉葱","たまねぎ",114
232,"きぬさや","きぬさや",2
242,"だし汁","だしじる",8
252,"海老","えび",14
262,"鱚","きす",1
272,"長茄子","ながなす",3
282,"さつま芋","さつまいも",3
292,"伏見唐辛子","ふしみとうがらし",2
302,"小麦粉","こむぎこ",31
312,"薄力粉","はくりきこ",43
322,"卵黄","らんおう",31
332,"冷水","ひやみず",3
342,"サラダ油","さらだあぶら",77
352,"胡麻油","ごまあぶら",34
362,"すだち","すだち",4
372,"生姜おろし","しょうがおろし",1
382,"水","みず",111
392,"だしの素","だしのもと",1
402,"濃口醤油","こいくちしょうゆ",24
412,"ごぼう","ごぼう",9
422,"さきイカ","さきいか",1
432,"炒りごま","いりごま",2
442,"タカのツメ","たかのつめ",5
452,"酒","ざけ",52
462,"赤パプリカ","あかぱぷりか",7
472,"黄パプリカ","きぱぷりか",5
482,"赤プチトマト","あかぷちとまと",1
492,"黄プチトマト","きぷちとまと",1
502,"お米","おこめ",3
512,"油揚げ","あぶらあげ",4
522,"しいたけ","しいたけ",8
532,"濃い口醤油","こいくちしょうゆ",24
542,"たけのこの水煮","たけのこのみずに",1
552,"木の芽","きのめ",9
562,"薄口しょう油","うすくちしょうゆ",25
572,"顆粒だし","かりゅうだし",1
582,"大根","だいこん",14
592,"ちくわ","ちくわ",2
602,"京がんも","きょうがんも",1
612,"さつま揚げ","さつまあげ",1
622,"ゆで卵","ゆでたまご",6
632,"昆布","こんぶ",7
642,"しょうゆ","しょうゆ",69
652,"薄口しょうゆ","うすくちしょうゆ",25
662,"溶きからし","ときからし",1
672,"牛ロース薄切り肉","ぎゅうろーすうすぎりにく",1
682,"焼き豆腐","やきどうふ",2
692,"しらたき","しらたき",1
702,"長ネギ","ながねぎ",37
712,"生しいたけ","なましいたけ",2
722,"えのきたけ","えのきたけ",1
732,"玉ねぎ","たまねぎ",114
742,"春菊","しゅんぎく",2
752,"だし","だし",26
762,"牛脂、砂糖","ぎゅうし、さとう",1
772,"切り干し大根","きりぼしだいこん",1
782,"ごま油","ごまあぶら",34
792,"七味","しちみ",2
802,"芽ひじき","めひじき",1
812,"鶏もも肉","とりももにく",25
822,"にんじん","にんじん",50
832,"鰤","ぶり",1
842,"湯がいて刻んだ大根葉","ゆがいてきざんだだいこんは",1
852,"柚子の皮","ゆずのかわ",8
862,"生さば","なまさば",1
872,"生姜","しょうが",46
882,"白ネギ","しろねぎ",2
892,"味噌","みそ",3
902,"しょうが","しょうが",46
912,"キャベツ又はレタス","きゃべつまたはれたす",1
922,"牛肉","ぎゅうにく",3
932,"玉子","たまご",65
942,"八丁味噌","はっちょうみそ",1
952,"鶏モモ","とりもも",1
962,"ゴボウ","ごぼう",9
972,"里芋","さといも",3
982,"干し椎茸","ほししいたけ",8
992,"こんにゃく","こんにゃく",4
1002,"レンコン","れんこん",3
1012,"キヌサヤ","きぬさや",2
1022,"椎茸もどし汁","しいたけもどしじる",1
1032,"里いも","さといも",3
1042,"米ぬか","こめぬか",2
1052,"きび砂糖","きびざとう",4
1062,"濃口しょうゆ","こいくちしょうゆ",24
1072,"マグロ","まぐろ",4
1082,"わけぎ","わけぎ",1
1092,"ゆでだこ","ゆでだこ",1
1102,"練りからし","ねりからし",1
1112,"米酢","こめず",4
1122,"白みそ","しろみそ",1
1132,"小ねぎ","こねぎ",4
1142,"鶏ひき肉","とりひきにく",4
1152,"鶏なんこつのミンチ","とりなんこつのみんち",1
1162,"長ねぎ","ながねぎ",37
1172,"粉さんしょう","こなさんしょう",2
1182,"ブランデー","ぶらんでー",3
1192,"赤みそ","あかみそ",1
1202,"大根の煮汁","だいこんのにじる",1
1212,"水溶き片栗粉","みずときかたくりこ",19
1222,"牛こま切れ肉","ぎゅうこまぎれにく",1
1232,"焼きどうふ","やきどうふ",2
1242,"きゅうり","きゅうり",16
1252,"みょうが","みょうが",3
1262,"乾燥わかめ","かんそうわかめ",1
1272,"こんぶ","こんぶ",7
1282,"塩水","しおみず",1
1292,"土佐酢","とさす",1
1302,"かつお節","かつおぶし",6
1312,"かぼちゃ","かぼちゃ",2
1322,"おから","おから",1
1332,"薄口醤油","うすくちしょうゆ",25
1342,"豚ひき肉","ぶたひきにく",8
1352,"さやいんげん","さやいんげん",3
1362,"いりごま","いりごま",2
1372,"きざみのり","きざみのり",1
1382,"スルメイカ","するめいか",1
1392,"七味とうがらし","ひちみとうがらし",2
1402,"ほうれん草","ほうれんそう",13
1412,"すりごま","すりごま",1
1422,"ごまペースト","ごまぺーすと",2
1432,"カレイ","かれい",1
